date,sku_id,brand,channel_id,warehouse_id,product_category,product_sub_category,lifecycle_stage,launch_date,days_since_launch,mrp,cost_price,discount_percent,selling_price,competitor_avg_price,price_position_vs_mrp,price_vs_competition,units_sold,demand_lambda,price_elasticity_effect,holiday_flag,promotion_flag,promotion_type,festival_intensity,weather_impact,economic_sentiment,marketing_spend,cac,roas,on_hand_inventory,inbound_inventory,stockout_flag,lead_time_days,units_returned,expected_return_rate,revenue,gross_profit,gross_margin,net_profit,net_margin,dow_factor,monthly_seasonality,brand_strength_score,quality_score,trend_factor,cannibalization_factor,week_of_year,quarter,orders,cancelled_orders,cancelled_units,ordered_units,brand_channel_budget,quarter_revenue,quarter_qoq_growth,quarter_yoy_growth
2022-01-01,X_003,X,Myntra,lucknow,Footwear,Sub_Cat_2,Launch,2022-01-22,-21,332.21,154.85,0.0104,328.74,413.51,0.9896,0.795,0,0.079827,1.012537,False,False,NULL,1,1,0.9659,67.28,NULL,0,839,0,False,NULL,0,0.1141,0,0,NULL,0,NULL,1.4,1,0.8141,0.7391,0.9461,0.94,52,1,0,0,0,0,10485.04,38217264.69,0.1091,NULL
2022-01-01,X_003,X,Myntra,delhi,Footwear,Sub_Cat_2,Launch,2022-01-22,-21,332.21,154.85,0.0321,321.56,352.65,0.9679,0.9118,0,0.109368,1.038474,False,False,NULL,1,1,1.003,66,NULL,0,697,0,False,NULL,0,0.1608,0,0,NULL,0,NULL,1.4,1,0.8141,0.7391,0.9461,0.978,52,1,0,0,0,0,10485.04,38217264.69,0.1091,NULL
2022-01-01,X_003,X,Myntra,ahmedabad,Footwear,Sub_Cat_2,Launch,2022-01-22,-21,332.21,154.85,0.011,328.55,356.9,0.989,0.9206,0,0.09592,1.013236,False,False,NULL,1,1,1.0563,67.14,NULL,0,732,0,False,NULL,0,0.1278,0,0,NULL,0,NULL,1.4,1,0.8141,0.7391,0.9461,0.9583,52,1,0,0,0,0,10485.04,38217264.69,0.1091,NULL
2022-01-01,X_003,X,Myntra,chennai,Footwear,Sub_Cat_2,Launch,2022-01-22,-21,332.21,154.85,0.1042,297.58,291.13,0.8958,1.0222,0,0.118063,1.125075,False,False,NULL,1,1,0.9773,64.64,NULL,0,1102,0,False,NULL,0,0.0998,0,0,NULL,0,NULL,1.4,1,0.8141,0.7391,0.9461,0.8741,52,1,0,0,0,0,10485.04,38217264.69,0.1091,NULL
2022-01-01,X_003,X,Myntra,bangalore,Footwear,Sub_Cat_2,Launch,2022-01-22,-21,332.21,154.85,0.1264,290.2,329.5,0.8735,0.8807,2,0.108157,1.151732,False,False,NULL,1,1,0.999,58.37,58.37,9.9435,1421,0,False,NULL,1,0.1015,580.4,270.7,0.4664,194.97,0.3359,1.4,1,0.8141,0.7391,0.9461,0.9255,52,1,1,0,0,2,10485.04,38217264.69,0.1091,NULL
2022-01-01,X_003,X,Myntra,pune,Footwear,Sub_Cat_2,Launch,2022-01-22,-21,332.21,154.85,0.034,320.91,297.14,0.966,1.08,0,0.047578,1.040801,False,False,NULL,1,1,0.9422,69.06,NULL,0,588,0,False,NULL,0,0.121,0,0,NULL,0,NULL,1.4,1,0.8141,0.7391,0.9461,0.9037,52,1,0,0,0,0,10485.04,38217264.69,0.1091,NULL
2022-01-01,X_003,X,Website,mumbai,Footwear,Sub_Cat_2,Launch,2022-01-22,-21,332.21,154.85,0.0074,329.75,361.99,0.9926,0.9109,0,0.089584,1.008886,False,False,NULL,1,1,0.9234,70.44,NULL,0,866,0,False,NULL,0,0.1029,0,0,NULL,0,NULL,1.4,1,0.8141,0.7391,0.9461,0.9912,52,1,0,0,0,0,3136.33,38217264.69,0.1091,NULL
2022-01-01,X_003,X,Website,lucknow,Footwear,Sub_Cat_2,Launch,2022-01-22,-21,332.21,154.85,0.0261,323.53,411.17,0.9739,0.7869,0,0.049139,1.031366,False,False,NULL,1,1,1.0723,69.97,NULL,0,839,0,False,NULL,0,0.0843,0,0,NULL,0,NULL,1.4,1,0.8141,0.7391,0.9461,0.9253,52,1,0,0,0,0,3136.33,38217264.69,0.1091,NULL
2022-01-01,X_003,X,Website,delhi,Footwear,Sub_Cat_2,Launch,2022-01-22,-21,332.21,154.85,0.0271,323.2,309.77,0.9729,1.0434,0,0.055686,1.032542,False,False,NULL,1,1,0.9088,66.81,NULL,0,697,0,False,NULL,0,0.1189,0,0,NULL,0,NULL,1.4,1,0.8141,0.7391,0.9461,0.9926,52,1,0,0,0,0,3136.33,38217264.69,0.1091,NULL
2022-01-01,X_003,X,Website,ahmedabad,Footwear,Sub_Cat_2,Launch,2022-01-22,-21,332.21,154.85,0.0749,307.33,352.47,0.9251,0.8719,2,0.09338,1.08988,False,False,NULL,1,1,1.1164,61.58,61.58,9.9815,732,0,False,NULL,1,0.0722,614.66,304.96,0.4961,254.67,0.4143,1.4,1,0.8141,0.7391,0.9461,0.8578,52,1,1,0,0,2,3136.33,38217264.69,0.1091,NULL
